Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,25000,616,538,834,1740,3717,1,15967,"0,000%","309,67422","601,67","0,00"
/P1-base/procesapago,25000,637,550,848,1735,3931,3,15996,"0,000%","306,73341","376,39","0,00"
Total,50000,627,544,842,1735,3738,1,15996,"0,000%","597,26453","946,67","0,00"
