Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,7500,2,2,4,6,14,0,63,"0,000%","128,36531","249,32","0,00"
/P1-base/procesapago,7500,10,9,15,18,27,3,60,"0,000%","128,34115","157,27","0,00"
Total,15000,6,6,13,16,24,0,63,"0,000%","247,29215","391,67","0,00"
