Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,2500,3,3,5,6,11,1,26,"0,000%","43,30879","84,11","0,00"
/P1-base/procesapago,2500,11,11,15,17,25,3,36,"0,000%","42,77819","52,37","0,00"
Total,5000,7,6,14,15,21,1,36,"0,000%","82,42936","130,49","0,00"
