Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,22500,431,327,796,1019,2014,0,7390,"0,000%","318,84140","619,47","0,00"
/P1-base/procesapago,22500,455,345,819,1076,2169,4,4156,"0,000%","317,92683","389,98","0,00"
Total,45000,443,336,809,1049,2122,0,7390,"0,000%","615,93211","976,10","0,00"
