Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,5000,2,2,4,5,10,0,47,"0,000%","85,06439","165,21","0,00"
/P1-base/procesapago,5000,10,10,15,17,25,3,67,"0,000%","85,53588","104,73","0,00"
Total,10000,6,6,13,15,21,0,67,"0,000%","164,43312","260,35","0,00"
