Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,12500,4,3,9,15,36,0,74,"0,000%","212,59950","412,97","0,00"
/P1-base/procesapago,12500,14,12,22,29,50,3,89,"0,000%","212,30341","260,22","0,00"
Total,25000,9,8,18,24,45,0,89,"0,000%","408,92437","647,77","0,00"
