Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10,4,4,6,6,7,2,7,"0,000%",",23068","0,45","0,00"
/P1-base/procesapago,10,11,13,15,15,16,6,16,"0,000%",",22628","0,28","0,00"
Total,20,8,6,14,15,16,2,16,"0,000%",",43286","0,68","0,00"
